Largest mammal on Earth,Blue whale
Tallest type of tree,Coast redwood
Process by which plants make food,Photosynthesis
Fastest land animal,Cheetah
Largest ocean on Earth,Pacific Ocean
Gas that plants absorb from the atmosphere,Carbon dioxide
Longest river in the world,Nile River
Largest desert in the world,Antarctic Desert
Number of legs a spider has,Eight
Closest star to Earth,The Sun
Largest planet in our solar system,Jupiter
Natural satellite of Earth,The Moon
Process of water turning into vapor,Evaporation
Tallest mountain on Earth,Mount Everest
Type of animal that is cold-blooded and lays eggs,Reptile
Phenomenon of light bending in a prism,Refraction
Largest rainforest in the world,Amazon Rainforest
Metal that is liquid at room temperature,Mercury
Number of bones in the adult human body,206
Hardest natural substance on Earth,Diamond
